Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,asymmetric,0.6100000000000001,0.2999596512891898
100% Corpus,2,asymmetric,0.81,0.2999596512891898
100% Corpus,2,asymmetric,symmetric,0.29930287128364774
100% Corpus,3,0.01,0.01,0.2861263887203152
100% Corpus,3,0.01,0.21000000000000002,0.2925171081297583
100% Corpus,3,0.01,0.41000000000000003,0.2828826406337844
100% Corpus,3,0.01,0.6100000000000001,0.28601210397141247
100% Corpus,3,0.01,0.81,0.2800158143453659
100% Corpus,3,0.01,symmetric,0.2899042105544404
100% Corpus,3,0.21000000000000002,0.01,0.2852242380446486
100% Corpus,3,0.21000000000000002,0.21000000000000002,0.29179888202485615
100% Corpus,3,0.21000000000000002,0.41000000000000003,0.29191617240817413
100% Corpus,3,0.21000000000000002,0.6100000000000001,0.28738762179335786
100% Corpus,3,0.21000000000000002,0.81,0.26893928997093114
100% Corpus,3,0.21000000000000002,symmetric,0.2900754853578911
100% Corpus,3,0.41000000000000003,0.01,0.29495644844465124
100% Corpus,3,0.41000000000000003,0.21000000000000002,0.28125023664392845
100% Corpus,3,0.41000000000000003,0.41000000000000003,0.2782396624221722
100% Corpus,3,0.41000000000000003,0.6100000000000001,0.28056712507415
100% Corpus,3,0.41000000000000003,0.81,0.2833619923366479
100% Corpus,3,0.41000000000000003,symmetric,0.28945654633177736
100% Corpus,3,0.6100000000000001,0.01,0.28494316954079246
100% Corpus,3,0.6100000000000001,0.21000000000000002,0.2907594171607143
100% Corpus,3,0.6100000000000001,0.41000000000000003,0.2821972467186471
100% Corpus,3,0.6100000000000001,0.6100000000000001,0.2739137623024082
100% Corpus,3,0.6100000000000001,0.81,0.2821062805947861
